snapshot,DK demand [MW],Battery charge [MW],DK solar generation [MW],DK onwind generation [MW],DK offwind generation [MW],DK gas CCGT generation [MW],DK coal generation [MW],DK nuclear generation [MW],DK exchange with NO [MW],DK exchange with SE [MW],DK exchange with DE [MW]
2016-01-18 11:00:00,5268.42,0.0,1528.1034012440787,0.0,1556.0434071816721,556.0308748941939,0.0,0.0,-185.58589443998142,599.4141055600186,1214.4141055600185
2016-01-18 12:00:00,5252.96,0.0,1426.290041226191,0.0,2027.5287680981478,556.0308748941939,0.0,0.0,-313.96322807284446,471.0367719271556,1086.0367719271555
2016-01-18 13:00:00,5141.96,0.0,869.8156899089134,0.0,2212.1892154923407,556.0308748941939,0.0,0.0,-227.02526009848285,557.9747399015172,1172.974739901517
2016-01-18 14:00:00,5051.06,0.0,267.51403907138916,0.0,2073.9086013971546,556.0308748941939,0.0,0.0,-10.464505120912566,774.5354948790874,1389.5354948790875
2016-01-18 15:00:00,5204.67,0.0,14.448015612294435,0.0,2277.979867912784,556.0308748941939,0.0,0.0,57.070413860242816,842.0704138602428,1457.0704138602428
2016-01-18 16:00:00,5705.07,0.0,0.22575024394210055,0.0,2412.2666630294443,556.0308748941939,0.0,0.0,183.84890394414012,968.84890394414,1583.8489039441401
2016-01-18 17:00:00,5489.76,0.0,0.0,0.0,2283.5196813346097,556.0308748941939,0.0,0.0,155.06981459039898,940.069814590399,1555.069814590399
2016-01-18 18:00:00,5087.69,0.0,0.0,0.0,2484.584847543821,556.0308748941939,0.0,0.0,-45.97524081267193,739.0247591873281,1354.024759187328
2016-01-18 19:00:00,4751.63,0.0,0.0,0.0,3247.3613281521134,556.0308748941939,0.0,0.0,-412.2540676821025,372.7459323178975,987.7459323178975
2016-01-18 20:00:00,4438.27,0.0,0.0,0.0,3512.4564308880094,556.0308748941939,0.0,0.0,-605.0724352607343,179.9275647392657,794.9275647392657
2016-01-18 21:00:00,4102.61,0.0,0.0,0.0,3691.491176280194,0.0,0.0,0.0,-591.2937254267315,193.7062745732686,808.7062745732685
2016-01-18 22:00:00,3678.74,0.0,0.0,0.0,3708.110616545671,0.0,0.0,0.0,-738.123538848557,46.87646115144298,661.876461151443
2016-01-18 23:00:00,3510.5,0.0,0.0,0.0,3510.695714994251,0.0,0.0,0.0,-728.3985716647503,56.60142833524969,671.6014283352497
2016-01-19 00:00:00,3398.85,0.0,0.0,0.0,3901.14520050774,0.0,0.0,0.0,-895.7650668359134,-110.76506683591333,504.23493316408656
2016-01-19 01:00:00,3417.17,0.0,0.0,0.0,3621.06254052985,0.0,0.0,0.0,-796.29751350995,-11.297513509950022,603.70248649005
2016-01-19 02:00:00,3419.12,0.0,0.0,0.0,3638.4549780169777,0.0,0.0,0.0,-801.444992672326,-16.444992672325952,598.555007327674
2016-01-19 03:00:00,3472.17,0.0,0.0,0.0,3886.587086166663,0.0,0.0,0.0,-866.4723620555544,-81.47236205555434,533.5276379444456
2016-01-19 04:00:00,3717.93,0.0,0.0,0.0,3641.160468292753,0.0,0.0,0.0,-702.7434894309177,82.25651056908221,697.2565105690823
2016-01-19 05:00:00,4401.28,0.0,0.0,0.0,3587.1365513574283,0.0,0.0,0.0,-456.9521837858095,328.0478162141905,943.0478162141904
2016-01-19 06:00:00,5146.89,0.0,0.0,0.0,3461.9968900302943,556.0308748941939,0.0,0.0,-352.0459216414961,432.9540783585039,1047.954078358504
2016-01-19 07:00:00,5411.54,0.0,1.580251707594704,0.0,3170.834603208753,556.0308748941939,0.0,0.0,-167.30190993684735,617.6980900631527,1232.6980900631527
