snapshot,DK demand [MW],Battery charge [MW],DK balance electricity [MW],DK balance battery charger [MW],DK balance solar [MW],DK balance offshore wind [MW],DK balance battery discharger [MW],DK exchange with NO [MW],DK exchange with SE [MW],DK exchange with DE [MW]
2016-01-19 08:00:00,5369.7,0.0,-5369.7,-0.0,205.93389331443095,2807.9475041579863,0.0,209.3465768901333,765.7360128187192,1380.7360128187192
2016-01-19 09:00:00,5403.69,0.0,-5403.69,-0.0,887.9265329509386,2857.2310743221615,0.0,33.555024439966985,504.9886841434703,1119.9886841434704
2016-01-19 10:00:00,5336.01,0.0,-5336.01,-0.0,1917.0150858607112,2688.887268253387,0.0,-484.96411803803267,300.03588196196733,915.0358819619674
2016-01-19 11:00:00,5160.15,0.0,-5160.15,-0.0,2613.8210238879606,2656.5918663243224,0.0,-765.0876300707612,19.912369929238896,634.9123699292388
2016-01-19 12:00:00,5110.84,0.0,-5110.84,-0.0,2845.8960320095835,2595.6132835014505,0.0,-838.556438503678,-53.55643850367793,561.443561496322
2016-01-19 13:00:00,4972.38,0.0,-4972.38,-0.0,2315.5218582547864,2326.84257973964,0.0,-618.3281459981421,166.67185400185795,781.6718540018579
2016-01-19 14:00:00,4907.38,0.0,-4907.38,-0.0,984.3582009063562,2304.0247874575325,0.0,-188.66766278796288,596.3323372120371,1211.3323372120371
2016-01-19 15:00:00,5121.8,0.0,-5121.8,-0.0,49.66811813366388,1514.1643759366298,0.0,457.6558353099022,1242.6558353099022,1857.6558353099022
2016-01-19 16:00:00,5654.47,0.0,-5654.47,-0.0,0.2904568311910169,1521.8895219130147,464.405186760526,604.0229826349703,1229.7156214359734,1844.715621435975
2016-01-19 17:00:00,5459.5,0.0,-5459.5,-0.0,0.2904568311910169,1399.360123231984,849.0744605771113,550.6291844780642,1032.234924200616,1647.2349242006164
2016-01-19 18:00:00,5125.21,0.0,-5125.21,-0.0,0.0,1219.822008410389,0.0,720.7387925682062,1284.8245995107027,1899.8245995107025
2016-01-19 19:00:00,4792.99,0.0,-4792.99,-0.0,0.0,864.9302328377414,0.0,833.7518680488041,1239.6539495567272,1854.653949556727
2016-01-19 20:00:00,4466.13,0.0,-4466.13,-0.0,0.0,855.1665066731406,0.0,853.2327995899549,1071.3653468684524,1686.3653468684524
2016-01-19 21:00:00,4146.92,0.0,-4146.92,-0.0,0.0,642.1169947224945,0.0,995.9676775776167,946.9176638499446,1561.9176638499446
2016-01-19 22:00:00,3786.63,0.0,-3786.63,-0.0,0.0,280.85912663226856,0.0,1193.934644600173,848.4181143837793,1463.4181143837793
2016-01-19 23:00:00,3585.62,0.0,-3585.62,-0.0,0.0,232.21931863279255,0.0,1333.3445966000425,702.5280423835823,1317.5280423835823
2016-01-20 00:00:00,3467.14,0.0,-3467.14,-0.0,0.0,284.50711223222925,0.0,1368.3876482001826,599.6226197837939,1214.6226197837939
2016-01-20 01:00:00,3419.92,0.0,-3419.92,-0.0,0.0,398.2741925604155,0.0,1352.9133781181367,526.8662146607239,1141.8662146607242
2016-01-20 02:00:00,3441.02,0.0,-3441.02,-0.0,0.0,680.3135498279654,0.0,1291.3360388012486,427.18520568539293,1042.185205685393
2016-01-20 03:00:00,3532.29,0.0,-3532.29,-0.0,0.0,797.9789677090508,0.0,1266.2721843309773,426.5194239799859,1041.519423979986
2016-01-20 04:00:00,3811.7,0.0,-3811.7,-0.0,0.0,779.8820979680693,0.0,1196.8364017662227,609.9907501328536,1224.9907501328535
2016-01-20 05:00:00,4466.24,1344.0693013679743,-4466.24,-1344.0693013679743,0.2904568311910169,526.0609822531566,0.0,1395.7463918291467,1636.6057352272396,2251.60573522724
2016-01-20 06:00:00,5215.92,0.0,-5215.92,-0.0,0.0,663.3969107222654,415.9321167084306,684.2812176762518,1423.387973997897,2038.387973997897
2016-01-20 07:00:00,5326.94,0.0,-5326.94,-0.0,13.651471065977793,462.7577027244266,1497.0592614573245,400.8477050329602,1185.8477050329602,1800.8477050329602
2016-01-20 08:00:00,5394.77,0.0,-5394.77,-0.0,486.2247354137622,319.62791477302744,1982.7627299142757,235.54949839475873,900.3653950756582,1515.365395075658
2016-01-20 09:00:00,5456.2,0.0,-5456.2,-0.0,1663.4462722309538,263.65637100892445,1677.0712900737155,84.0555533134643,595.5694774537162,1210.5694774537162
2016-01-20 10:00:00,5385.6,0.0,-5385.6,-0.0,3075.356928650486,210.4744632918503,953.9049363562822,-4.774678611319838,278.6741295665404,893.6741295665404
2016-01-20 11:00:00,5237.52,1012.8237315702718,-5237.52,-1012.8237315702718,3881.6650920367492,295.0218942556454,0.0,312.17861257770915,573.2390663500839,1188.2390663500842
2016-01-20 12:00:00,5199.31,1375.98788919042,-5199.31,-1375.98788919042,3521.208164528698,407.5729793838447,0.0,463.6086125777094,783.9540663500842,1398.954066350084
2016-01-20 13:00:00,5122.82,969.0371469027109,-5122.82,-969.0371469027109,2661.746401034479,490.51100493589246,0.0,556.6893614913251,883.955189720507,1498.955189720507
2016-01-20 14:00:00,5028.72,0.0,-5028.72,-0.0,1125.5202208651904,647.8750896400796,423.75336501852155,523.9483065726191,851.1336073424486,1466.1336073424486
2016-01-20 15:00:00,5183.71,0.0,-5183.71,-0.0,76.09968977204643,817.9355948147181,2266.1029346248984,219.42342253501147,620.3612812860367,1235.3612812860365
2016-01-20 16:00:00,5710.47,0.0,-5710.47,-0.0,0.2904568311910169,908.3126498255093,3957.0075424352653,-73.68136648124789,196.7990977616498,811.7990977616489
2016-01-20 17:00:00,5536.08,0.0,-5536.08,-0.0,0.0,904.0566666255552,2724.131557924111,176.59948792423756,589.1453793698763,1204.1453793698763
2016-01-20 18:00:00,5199.59,0.0,-5199.59,-0.0,0.0,799.0161400855102,859.0526280211361,654.2200258541112,1145.926186264687,1760.926186264687
2016-01-20 19:00:00,4897.22,0.0,-4897.22,-0.0,0.0,562.7196610762911,0.0,779.9415051016599,1538.606684043034,2015.9521497790154
2016-01-20 20:00:00,4592.86,2725.259673690584,-4592.86,-2725.259673690584,0.0,544.8373787235425,0.0,1632.0,2398.1894093241913,2743.0928856428495
2016-01-20 21:00:00,4231.63,0.0,-4231.63,-0.0,0.0,418.3381133601993,0.0,1053.3148979181894,1072.4884943608056,1687.4884943608056
2016-01-20 22:00:00,3903.16,0.0,-3903.16,-0.0,0.0,412.6157830073198,0.0,435.18140566422676,1220.1814056642268,1835.1814056642268
2016-01-20 23:00:00,3709.41,1451.6991844679667,-3709.41,-1451.6991844679667,0.0,460.14688950092545,0.0,1632.0,1226.9811474835205,1841.9811474835205
2016-01-21 00:00:00,3592.99,0.0,-3592.99,-0.0,0.0,540.9032766059379,0.0,1329.8886071067552,553.5990581436536,1168.5990581436536
2016-01-21 01:00:00,3553.29,0.0,-3553.29,-0.0,0.0,486.61266738299327,0.0,1357.0812594124916,547.2980366022575,1162.2980366022575
2016-01-21 02:00:00,3569.03,3866.950064301264,-3569.03,-3866.950064301264,0.0,450.8123381127907,0.0,1632.0,2369.0838630942367,2984.0838630942367
2016-01-21 03:00:00,3650.42,0.0,-3650.42,-0.0,0.0,545.2307889353029,0.0,-103.27026297843456,1911.7297370215656,1296.7297370215654
2016-01-21 04:00:00,3922.84,1397.093998539492,-3922.84,-1397.093998539492,0.0,373.13170357245104,0.0,1632.0,1349.9011474835206,1964.9011474835206
